year,state,month,number
2010,Acre,Maio,9.0
2005,Piau,Marco,13.0
2015,Ceara,Novembro,1.081
2008,Amapa,Setembro,83.0
2012,Tocantins,Julho,1.693
2011,Amapa,Fevereiro,3.0
2015,Amapa,Fevereiro,1.0
2008,Espirito Santo,Fevereiro,20.0
2002,Santa Catarina,Maio,3.0
2001,Rio,Janeiro,12.0
2013,Acre,Maio,4.0
2001,Alagoas,Dezembro,30.0
2005,Para,Maio,37.0
2000,Paraiba,Fevereiro,11.0
2005,Rondonia,Agosto,6.672000000000001
2017,Santa Catarina,Maio,36.0
1999,Amapa,Outubro,25.0
1999,Sergipe,Setembro,0.0
2002,Goias,Setembro,3.52
2008,Distrito Federal,Janeiro,0.0
2003,Paraiba,Fevereiro,3.0
2006,Minas Gerais,Maio,62.0
2011,Mato Grosso,Julho,1.061
2001,Goias,Setembro,1.8630000000000002
2013,Goias,Junho,192.0
2014,Sao Paulo,Agosto,1.4580000000000002
2004,Alagoas,Outubro,12.0
2006,Para,Outubro,5.9639999999999995
2014,Rio,Janeiro,35.0
2010,Rio,Janeiro,13.0
2007,Maranhao,Junho,515.0
2017,Bahia,Junho,329.0
2000,Goias,Outubro,905.0
2015,Rio,Maio,4.0
2004,Acre,Dezembro,7.0
2003,Ceara,Janeiro,264.0
2007,Rio,Novembro,1.0
2010,Rio,Junho,4.0
2009,Rondonia,Maio,6.0
2002,Roraima,Julho,7.0
2002,Mato Grosso,Abril,230.0
2015,Para,Julho,906.0
2008,Para,Dezembro,684.0
2005,Ceara,Janeiro,384.0
2008,Mato Grosso,Maio,119.0
2005,Amazonas,Fevereiro,6.0
2003,Mato Grosso,Outubro,5.341
2011,Acre,Julho,93.0
2016,Roraima,Julho,0.0
2003,Sergipe,Agosto,0.0
2016,Alagoas,Outubro,74.0
2016,Bahia,Maio,259.0
2008,Tocantins,Agosto,845.0
2009,Goias,Agosto,647.0
2006,Alagoas,Abril,2.0
2002,Mato Grosso,Outubro,9.375
1999,Ceara,Novembro,524.0
1999,Sergipe,Novembro,3.0
1998,Rio,Setembro,44.0
2014,Acre,Agosto,1.1
2015,Distrito Federal,Outubro,21.0
2000,Alagoas,Dezembro,2.0
2016,Goias,Agosto,1.032
2004,Sergipe,Maio,5.0
2001,Acre,Junho,1.0
2010,Rio,Fevereiro,12.0
2001,Piau,Agosto,1.133
2006,Acre,Marco,0.0
2010,Acre,Julho,126.0
2010,Minas Gerais,Outubro,2.048
2010,Tocantins,Marco,120.0
2014,Mato Grosso,Setembro,365.0
2001,Rio,Agosto,36.0
2001,Bahia,Dezembro,158.0
2017,Rio,Agosto,164.0
2016,Roraima,Maio,22.0
1999,Sao Paulo,Julho,684.0
1999,Sao Paulo,Agosto,1.2109999999999999
2000,Tocantins,Abril,0.0
2008,Mato Grosso,Dezembro,159.0
2003,Bahia,Marco,274.0
2012,Rondonia,Agosto,2.209
2006,Rio,Fevereiro,7.0
2009,Rio,Novembro,27.0
2015,Minas Gerais,Julho,288.0
2006,Tocantins,Marco,11.0
2004,Rio,Janeiro,44.0
2003,Sergipe,Novembro,2.0
2011,Paraiba,Janeiro,35.0
2003,Sao Paulo,Maio,69.0
2006,Maranhao,Novembro,2.004
2006,Alagoas,Outubro,32.0
2011,Sergipe,Fevereiro,31.0
2015,Goias,Julho,347.0
2012,Rio,Outubro,163.0
2000,Espirito Santo,Abril,3.0
2016,Acre,Agosto,2.188
2001,Ceara,Novembro,2.456
2002,Pernambuco,Abril,5.0
2004,Rondonia,Agosto,6.893
2007,Paraiba,Dezembro,22.0
2013,Sao Paulo,Dezembro,109.0
2008,Tocantins,Setembro,2.39
2000,Piau,Novembro,450.0
2015,Acre,Julho,109.0
2013,Ceara,Novembro,1.081
2015,Piau,Outubro,4.0680000000000005
2012,Minas Gerais,Novembro,220.0
2016,Paraiba,Agosto,50.0
2008,Paraiba,Junho,0.0
2013,Paraiba,Janeiro,38.0
2001,Espirito Santo,Junho,9.0
2008,Maranhao,Julho,502.0
2005,Sao Paulo,Julho,284.0
2004,Acre,Agosto,645.0
2012,Piau,Maio,334.0
1998,Rio,Abril,0.0
2008,Sergipe,Setembro,0.0
2015,Santa Catarina,Fevereiro,23.0
2011,Sao Paulo,Dezembro,53.0
2009,Bahia,Fevereiro,117.0
2008,Para,Setembro,6.294
2000,Bahia,Maio,71.0
2005,Para,Julho,4.364
2015,Amapa,Abril,0.0
2006,Bahia,Setembro,3.0060000000000002
2002,Espirito Santo,Marï¿½o,4.0
2017,Acre,Maio,10.0
2017,Acre,Marco,0.0
2004,Minas Gerais,Dezembro,125.0
2012,Acre,Abril,1.0
2016,Amapa,Dezembro,491.0
2006,Rio,Maio,24.0
2013,Tocantins,Fevereiro,37.0
1999,Minas Gerais,Abril,27.0
2007,Rondonia,Agosto,4.7860000000000005
1999,Goias,Agosto,1.198
2016,Mato Grosso,Outubro,2.7489999999999997
2004,Rio,Julho,5.0
2015,Rio,Julho,3.0
2013,Distrito Federal,Junho,4.0
1999,Maranhao,Maio,3.0
2013,Ceara,Agosto,32.0
2013,Paraiba,Maio,85.0
1998,Bahia,Novembro,49.0
2002,Paraiba,Fevereiro,18.0
2017,Acre,Novembro,98.0
2003,Amazonas,Outubro,725.0
2010,Paraiba,Junho,3.0
2004,Roraima,Setembro,9.0
2013,Mato Grosso,Abril,338.0
2013,Goias,Marco,79.0
2012,Piau,Agosto,3.614
1998,Roraima,Maio,0.0
1999,Ceara,Agosto,131.0
2008,Sao Paulo,Dezembro,36.0
2004,Alagoas,Dezembro,71.0
2012,Acre,Fevereiro,0.0
2008,Sao Paulo,Agosto,153.0
2013,Ceara,Marco,17.0
2006,Minas Gerais,Junho,73.0
2005,Goias,Janeiro,27.0
2008,Distrito Federal,Agosto,30.0
2009,Paraiba,Fevereiro,21.0
2004,Amapa,Abril,0.0
1998,Alagoas,Novembro,19.0
2003,Rondonia,Julho,516.0
2006,Goias,Setembro,1.463
2008,Tocantins,Dezembro,7.0
2001,Rondonia,Agosto,2.1319999999999997
2013,Paraiba,Setembro,25.0
2012,Mato Grosso,Fevereiro,112.0
2015,Goias,Maio,129.0
2014,Sao Paulo,Julho,476.0
2005,Rio,Fevereiro,4.0
2011,Maranhao,Abril,37.0
2000,Maranhao,Julho,233.0
1999,Distrito Federal,Janeiro,0.0
2014,Pernambuco,Novembro,111.0
2000,Mato Grosso,Dezembro,139.0
2017,Alagoas,Setembro,4.0
2017,Piau,Novembro,449.0
2017,Mato Grosso,Janeiro,355.0
2013,Maranhao,Dezembro,2.6919999999999997
2014,Maranhao,Dezembro,2.4
1998,Goias,Abril,0.0
2004,Espirito Santo,Dezembro,9.0
2004,Amazonas,Fevereiro,92.0
2004,Distrito Federal,Julho,37.0
2001,Rondonia,Abril,0.0
2005,Rondonia,Abril,7.0
2001,Rio,Marco,11.0
2003,Paraiba,Maio,0.0
2016,Goias,Dezembro,64.0
2017,Bahia,Janeiro,154.0
2011,Rondonia,Setembro,1.7819999999999998
2016,Rio,Janeiro,68.0
2015,Alagoas,Maio,18.0
2004,Rio,Outubro,680.0
2012,Ceara,Marco,10.0
2009,Mato Grosso,Outubro,2.5789999999999997
1999,Piau,Outubro,1.4380000000000002
2005,Maranhao,Dezembro,1.66
2012,Rondonia,Setembro,2.471
1999,Amazonas,Maio,0.0
2009,Roraima,Agosto,29.0
2013,Ceara,Julho,4.0
2015,Tocantins,Setembro,5.51
2007,Roraima,Junho,1.0
2010,Amapa,Outubro,265.0
2003,Minas Gerais,Julho,407.0
2011,Rio,Outubro,76.0
2008,Piau,Julho,97.0
2009,Roraima,Maio,219.0
2009,Paraiba,Fevereiro,9.0
2016,Piau,Dezembro,374.0
2012,Mato Grosso,Agosto,2.951
2002,Piau,Julho,534.0
2016,Espirito Santo,Abril,57.0
2013,Paraiba,Junho,52.0
2000,Amazonas,Outubro,145.0
2014,Para,Setembro,6.787000000000001
2008,Mato Grosso,Novembro,50.0
2012,Sao Paulo,Junho,30.0
2011,Minas Gerais,Maio,151.0
2007,Mato Grosso,Fevereiro,111.0
2002,Distrito Federal,Janeiro,0.0
2004,Rondonia,Novembro,452.0
2008,Rondonia,Dezembro,2.0
1999,Sergipe,Outubro,0.0
2005,Alagoas,Abril,1.0
2004,Bahia,Abril,89.0
2016,Acre,Dezembro,6.0
2012,Rio,Julho,134.0
2006,Mato Grosso,Marco,448.0
2014,Para,Maio,70.0
2008,Goias,Maio,41.0
2005,Alagoas,Junho,0.0
2008,Paraiba,Marco,8.0
2007,Mato Grosso,Janeiro,476.0
1998,Sao Paulo,Abril,0.0
1999,Santa Catarina,Novembro,84.0
2010,Paraiba,Maio,39.0
2001,Santa Catarina,Abril,1.0
2006,Santa Catarina,Agosto,728.0
2015,Amazonas,Agosto,4.564
2015,Mato Grosso,Abril,65.0
2012,Sergipe,Novembro,6.0
2008,Goias,Junho,55.0
2007,Alagoas,Julho,0.0
2016,Santa Catarina,Setembro,644.0
2015,Pernambuco,Agosto,21.0
2015,Pernambuco,Fevereiro,55.0
2013,Paraiba,Julho,1.0
2000,Mato Grosso,Fevereiro,81.0
2013,Espirito Santo,Setembro,30.0
2014,Para,Julho,825.0
2002,Paraiba,Agosto,38.0
2002,Sergipe,Dezembro,103.0
2003,Rio,Fevereiro,10.0
2013,Para,Fevereiro,30.0
2006,Sergipe,Abril,9.0
2014,Tocantins,Dezembro,223.0
2016,Distrito Federal,Fevereiro,2.0
2002,Tocantins,Fevereiro,48.0
2011,Acre,Fevereiro,0.0
2002,Santa Catarina,Novembro,348.0
1999,Maranhao,Dezembro,1.001
2006,Ceara,Agosto,50.0
2006,Rio,Marco,76.0
2008,Mato Grosso,Abril,274.0
2001,Rio,Abril,3.0
2005,Paraiba,Abril,22.0
2010,Maranhao,Abril,128.0
2007,Espirito Santo,Abril,2.0
2000,Minas Gerais,Dezembro,14.0
2013,Goias,Setembro,684.0
2012,Paraiba,Marco,55.0
1998,Rio,Marco,0.0
2011,Maranhao,Fevereiro,9.0
2008,Paraiba,Novembro,39.0
2010,Amapa,Janeiro,2.0
2013,Roraima,Julho,4.0
1999,Espirito Santo,Abril,2.0
2011,Paraiba,Dezembro,78.0
2014,Sergipe,Setembro,4.0
2000,Mato Grosso,Abril,90.0
2004,Espirito Santo,Novembro,42.0
2000,Maranhao,Junho,94.0
2012,Santa Catarina,Junho,42.0
2000,Minas Gerais,Setembro,1.08
2016,Rondonia,Abril,59.0
1998,Pernambuco,Maio,0.0
1999,Amapa,Julho,0.0
2011,Paraiba,Agosto,12.0
2011,Roraima,Julho,9.0
2014,Ceara,Julho,47.0
2014,Maranhao,Outubro,5.812
2000,Sao Paulo,Fevereiro,25.0
2014,Rio,Julho,2.0
2013,Goias,Fevereiro,86.0
2016,Distrito Federal,Junho,42.0
2015,Goias,Fevereiro,53.0
2000,Rio,Novembro,2.0
2008,Espirito Santo,Abril,8.0
2005,Rondonia,Maio,38.0
2005,Minas Gerais,Junho,246.0
2011,Sao Paulo,Setembro,1.1079999999999999
2006,Rio,Julho,54.0
2008,Mato Grosso,Novembro,190.0
2012,Tocantins,Agosto,4.28
2010,Minas Gerais,Agosto,3.353
2014,Alagoas,Janeiro,54.0
2003,Goias,Fevereiro,47.0
2004,Ceara,Outubro,1.217
2001,Rio,Marco,0.0
2011,Bahia,Janeiro,101.0
2001,Para,Fevereiro,16.0
2017,Maranhao,Abril,91.0
2002,Paraiba,Novembro,425.0
1998,Para,Agosto,6.815
2011,Goias,Fevereiro,45.0
2014,Amazonas,Junho,74.0
2003,Goias,Junho,321.0
1998,Paraiba,Fevereiro,0.0
2013,Mato Grosso,Julho,201.0
2011,Ceara,Fevereiro,2.0
2010,Distrito Federal,Marco,0.0
2000,Amazonas,Agosto,180.0
2013,Minas Gerais,Maio,150.0
2007,Paraiba,Fevereiro,7.0
2001,Bahia,Setembro,3.964
2016,Santa Catarina,Janeiro,53.0
2013,Espirito Santo,Julho,20.0
2015,Goias,Dezembro,179.0
1998,Rio,Fevereiro,0.0
2011,Rondonia,Junho,130.0
2004,Sao Paulo,Marco,73.0
2007,Para,Dezembro,689.0
2000,Alagoas,Fevereiro,16.0
2012,Bahia,Fevereiro,200.0
2014,Tocantins,Janeiro,89.0
2008,Piau,Fevereiro,21.0
2004,Ceara,Fevereiro,5.0
2002,Minas Gerais,Agosto,2.041
2013,Piau,Fevereiro,68.0
2015,Acre,Maio,2.0
2014,Amapa,Outubro,480.0
2007,Distrito Federal,Marco,1.0
2005,Para,Outubro,5.083
1998,Distrito Federal,Marco,0.0
2015,Rio,Marco,108.0
2004,Sao Paulo,Setembro,809.0
2009,Goias,Abril,11.0
2008,Pernambuco,Novembro,363.0
2000,Amapa,Janeiro,2.0
2009,Bahia,Agosto,439.0
2001,Maranhao,Janeiro,29.0
2006,Mato Grosso,Agosto,6.218
2004,Maranhao,Marco,18.0
2014,Distrito Federal,Dezembro,0.0
2005,Bahia,Setembro,4.066
2017,Mato Grosso,Novembro,133.0
2006,Paraiba,Novembro,60.0
2011,Sao Paulo,Abril,52.0
2001,Pernambuco,Janeiro,7.0
1999,Piau,Dezembro,74.0
2007,Maranhao,Abril,5.0
1999,Amapa,Agosto,0.0
2003,Santa Catarina,Fevereiro,43.0
2006,Distrito Federal,Dezembro,0.0
1998,Rio,Setembro,60.0